# cycles  fidelity            EL avg              EL var              ||MSE gradient||    ratio accepted samples
1         0.85935             0.96624             0.01737             0.38969             1.0                 
2         0.88274             1.09667             0.08024             1.56182             1.0                 
3         0.87700             1.04257             0.00721             0.10936             1.0                 
4         0.84211             1.00699             0.02031             0.54409             1.0                 
5         0.88867             1.03370             0.01161             0.31456             1.0                 
6         0.88282             1.04322             0.01865             0.38084             1.0                 
7         0.91086             1.12385             0.06377             1.05423             0.999875            
8         0.88018             1.03011             0.03286             0.33658             1.0                 
9         0.88012             1.11470             0.01158             0.24694             1.0                 
10        0.85692             1.12498             0.01293             0.24310             1.0                 
11        0.87991             1.16466             0.05992             0.52511             1.0                 
12        0.84272             1.19151             0.01011             0.19647             1.0                 
13        0.85436             1.38866             0.42957             2.91826             1.0                 
14        0.88651             1.21889             0.02053             0.20639             1.0                 
15        0.86021             1.30863             0.00747             0.14816             1.0                 
16        0.82801             1.26406             0.01932             0.47559             1.0                 
17        0.88728             1.20225             0.01334             0.28920             1.0                 
18        0.96612             1.31599             0.06120             1.46191             1.0                 
19        0.89493             1.24771             0.05025             0.69773             1.0                 
20        0.84366             1.38415             0.02013             0.36670             1.0                 
21        0.86033             1.45402             0.02015             0.22239             1.0                 
22        0.91514             1.39527             0.02773             0.51188             1.0                 
23        0.91009             1.57647             0.30794             3.74631             1.0                 
24        0.89786             1.45982             0.09083             0.75241             1.0                 
25        0.91905             1.52968             0.06880             0.47916             1.0                 
26        0.85341             1.69741             0.04808             0.38905             1.0                 
27        0.87551             1.77102             0.05518             0.31903             1.0                 
28        0.90864             1.46504             0.15631             1.23436             1.0                 
29        0.84255             1.62891             0.21591             1.42591             1.0                 
30        0.87191             1.62717             0.28958             1.38770             1.0                 
31        0.89519             1.91787             0.15458             0.57911             1.0                 
32        0.94798             1.31953             0.29682             1.50443             1.0                 
33        0.90430             1.36369             0.35495             2.43797             1.0                 
34        0.95712             1.39030             0.43298             1.53743             1.0                 
35        0.92929             1.55520             0.45639             1.76227             1.0                 
36        0.89555             1.83384             0.43357             1.80955             1.0                 
37        0.91503             1.72207             0.59244             2.29583             1.0                 
38        0.89104             2.10462             0.53292             1.67801             1.0                 
39        0.93646             1.46128             0.53050             2.68685             1.0                 
40        0.95779             1.45599             0.56956             1.76181             1.0                 
41        0.98316             1.57742             0.31127             0.45118             1.0                 
42        0.91619             1.87272             0.86969             2.08261             1.0                 
43        0.91901             1.79427             0.86924             2.55458             1.0                 
44        0.95845             1.52063             0.90899             1.82801             1.0                 
45        0.93236             1.83830             1.11401             2.24874             1.0                 
46        0.96220             1.81139             0.83806             2.56331             1.0                 
47        0.92280             2.45506             1.38824             2.19674             1.0                 
48        0.92723             2.01681             1.43780             2.84961             1.0                 
49        0.94586             2.03584             0.60412             1.93648             1.0                 
50        0.98987             1.46074             0.23393             0.94676             0.999875            
51        0.94329             2.07487             1.55061             3.07756             1.0                 
52        0.94297             2.07359             1.76091             3.69037             1.0                 
53        0.93443             2.45677             2.20906             3.04469             1.0                 
54        0.92316             2.33823             1.46681             2.73000             1.0                 
55        0.94890             2.23393             2.32672             4.21830             0.999875            
56        0.94719             2.01232             2.40925             3.14726             1.0                 
57        0.96540             1.51595             1.21126             1.37632             1.0                 
58        0.96496             2.05486             2.41301             5.55089             1.0                 
59        0.96889             1.68081             1.03110             1.69287             1.0                 
60        0.96388             1.83763             1.57391             2.21413             1.0                 
61        0.95965             2.34648             3.20486             4.40768             1.0                 
62        0.96079             2.00856             3.26185             3.75734             1.0                 
63        0.59047             3.32455             3.15746             8.64041             1.0                 
64        0.96452             1.93374             3.20925             4.10144             0.999875            
65        0.94542             2.66600             3.42503             6.32374             0.999875            
66        0.93074             1.88860             1.18258             1.62588             1.0                 
67        0.97841             1.81191             3.34175             3.93163             1.0                 
68        0.96085             1.69070             1.79254             2.00055             1.0                 
69        0.95208             1.87056             2.57345             2.29633             0.999875            
70        0.96788             1.42623             1.33041             1.07882             1.0                 
71        0.97027             1.59540             1.70248             1.21327             1.0                 
72        0.91566             1.68816             1.27743             1.86379             0.999875            
73        0.92591             1.66394             0.32038             2.23816             1.0                 
74        0.97781             1.76102             4.56379             2.65937             1.0                 
75        0.93136             1.97090             0.17587             1.34305             1.0                 
76        0.84882             2.02867             2.49651             2.97547             1.0                 
77        0.77683             3.23869             4.38075             5.87153             1.0                 
78        0.87674             2.15630             2.93819             1.32005             1.0                 
79        0.98480             1.32261             0.59673             0.34851             1.0                 
80        0.96835             2.29278             6.35087             5.11471             0.999875            
81        0.75023             2.47422             0.96775             5.68278             1.0                 
82        0.91456             1.57647             0.46033             2.57577             1.0                 
83        0.92801             1.68339             0.23071             1.64746             1.0                 
84        0.86799             1.69844             0.82854             5.05209             1.0                 
85        0.87321             1.85028             1.19111             2.14489             1.0                 
86        0.93583             1.55274             1.49955             0.90500             1.0                 
87        0.91741             1.69844             0.50924             2.34952             1.0                 
88        0.76100             3.60018             0.80381             3.24228             1.0                 
89        0.91341             1.52342             2.23837             3.05194             1.0                 
90        0.96566             1.58013             2.10787             1.44001             1.0                 
91        0.98139             1.38364             1.02000             1.19783             1.0                 
92        0.65179             5.00303             3.00513             5.86526             1.0                 
93        0.58702             3.38502             4.29767             7.28132             1.0                 
94        0.87359             2.88716             8.93142             6.97745             1.0                 
95        0.91920             2.67907             10.76600            6.23671             1.0                 
96        0.09955             24.96115            97.94802            105.20181           1.0                 
97        0.97089             2.93750             17.80663            6.92712             1.0                 
98        0.33435             6.50597             12.29406            28.06751            1.0                 
99        0.90615             2.60121             10.57671            5.98963             1.0                 
100       0.98460             2.07459             10.76378            4.71026             1.0                 
101       0.98429             1.57615             4.53883             1.72066             1.0                 
102       0.90840             2.02170             4.17372             2.22535             1.0                 
103       0.94544             2.07419             7.09702             3.09695             1.0                 
104       0.73427             2.62306             1.45875             6.59559             1.0                 
105       0.95043             2.79781             16.10911            10.46779            1.0                 
106       0.83757             2.06960             0.67302             5.90589             1.0                 
107       0.95972             1.45670             0.25115             1.71772             1.0                 
108       0.97951             1.34169             0.93347             0.97062             1.0                 
109       0.81740             2.71457             0.56214             2.64228             1.0                 
110       0.88669             2.03678             9.00413             1.68514             1.0                 
111       0.95350             1.72980             4.23772             0.95692             1.0                 
112       0.95063             2.07410             10.55568            3.70944             1.0                 
113       0.84362             3.20151             14.46479            7.13226             1.0                 
114       0.95872             2.23981             16.76794            5.14143             1.0                 
115       0.71505             2.59164             6.73330             8.29522             1.0                 
116       0.74226             2.37829             2.93570             5.77275             1.0                 
117       0.87718             1.64130             1.47650             4.53397             1.0                 
118       0.95706             1.34908             1.52947             1.58202             1.0                 
119       0.96492             3.28204             34.90870            7.75024             1.0                 
120       0.84030             2.44880             13.25742            2.20108             1.0                 
121       0.50191             4.29934             4.84388             15.54094            1.0                 
122       0.98454             1.21135             1.76688             1.13679             1.0                 
123       0.95656             3.67324             40.14083            8.99226             1.0                 
124       0.58017             3.83199             2.52319             7.05841             1.0                 
125       0.92490             3.43400             33.34612            14.52185            1.0                 
126       0.75004             2.22235             1.40196             9.11106             1.0                 
127       0.46652             3.79922             3.59124             12.53134            1.0                 
128       0.91756             3.21052             29.74063            10.32390            1.0                 
129       0.91258             1.85761             1.93292             1.56384             1.0                 
130       0.98406             1.48493             5.38450             0.89710             1.0                 
131       0.75302             3.32394             18.36922            3.96734             1.0                 
132       0.75921             2.52260             0.95659             6.35618             1.0                 
133       0.88388             2.03091             11.64599            1.19247             1.0                 
134       0.95560             2.17428             24.20925            7.80446             1.0                 
135       0.93410             1.79598             0.22780             1.74929             1.0                 
136       0.92436             1.86113             4.46109             1.84124             1.0                 
137       0.97631             2.20823             33.29922            10.77858            1.0                 
138       0.96874             1.67728             0.10725             0.88176             1.0                 
139       0.90557             2.56636             20.66599            5.85707             1.0                 
140       0.92149             1.82606             0.25644             2.17871             1.0                 
141       0.89817             1.88203             0.31780             2.24732             0.999875            
142       0.96127             1.45853             0.19931             1.49526             1.0                 
143       0.98015             1.88050             18.32458            3.49373             1.0                 
144       0.87918             2.09107             5.66769             1.52974             1.0                 
145       0.96136             1.69552             7.01660             0.96252             1.0                 
146       0.96971             1.69776             17.84462            3.90794             1.0                 
147       0.96220             1.32293             0.31873             2.45085             1.0                 
148       0.78570             3.30758             35.20939            3.18335             1.0                 
149       0.85054             2.02021             5.19680             4.71462             1.0                 
150       0.96865             3.42672             51.28803            11.86647            1.0                 
151       0.94718             1.81755             20.47156            2.30053             1.0                 
152       0.97568             1.54127             14.25575            1.87465             1.0                 
153       0.95260             1.68408             11.28995            2.11461             1.0                 
154       0.91198             2.37938             31.46914            4.67953             1.0                 
155       0.76867             2.13269             1.12505             6.79372             1.0                 
156       0.94839             1.90395             23.82170            4.89294             1.0                 
157       0.97959             2.30177             35.67391            5.73918             1.0                 
158       0.97668             1.27029             1.56576             0.86005             1.0                 
159       0.94197             2.20196             33.02306            4.70474             1.0                 
160       0.90499             1.79592             0.24678             2.63681             1.0                 
161       0.97341             1.14410             0.30173             2.17506             1.0                 
162       0.84464             2.51741             0.69188             3.65529             1.0                 
163       0.95653             1.60534             22.00169            3.48857             1.0                 
164       0.95032             1.34221             2.80444             3.72705             1.0                 
165       0.92776             1.54258             3.05671             3.17681             1.0                 
166       0.80895             1.98386             0.80470             4.97236             1.0                 
167       0.96536             1.25863             2.03295             1.71744             1.0                 
168       0.97934             3.13016             73.30405            10.81427            1.0                 
169       0.95257             3.95362             83.01567            14.38557            1.0                 
170       0.93333             3.47984             67.60540            12.75304            0.999875            
171       0.95259             1.53482             25.33134            1.91992             1.0                 
172       0.80112             1.94200             1.42945             9.29210             1.0                 
173       0.84305             1.88722             0.75149             5.03495             1.0                 
174       0.77213             2.27738             7.66456             5.00191             1.0                 
175       0.98505             1.57743             30.97810            2.48843             1.0                 
176       0.97615             1.67396             17.09473            2.08043             0.999875            
177       0.88568             1.87470             8.24972             2.07900             1.0                 
178       0.96792             1.78629             25.99983            3.74984             1.0                 
179       0.92365             4.28522             97.11460            20.79504            1.0                 
180       0.75658             4.58544             84.12991            21.25022            1.0                 
181       0.91576             1.61832             1.16473             2.22182             1.0                 
182       0.96784             2.52683             45.54487            8.66659             1.0                 
183       0.95934             3.85771             93.01279            17.35070            1.0                 
184       0.96786             1.22562             11.88306            0.98860             0.999875            
185       0.88462             1.83713             27.85817            1.58338             1.0                 
186       0.96626             1.38801             7.92971             0.71828             1.0                 
187       0.25032             9.04647             37.42630            79.25248            1.0                 
188       0.96325             3.64565             133.26979           11.46523            0.999875            
189       0.98085             1.80098             45.64980            3.69603             1.0                 
190       0.93920             1.36353             12.60773            2.73497             1.0                 
191       0.85593             2.09422             0.36346             2.60178             1.0                 
192       0.93551             1.71623             0.16008             1.43544             1.0                 
193       0.89077             1.81452             23.41403            1.45216             1.0                 
194       0.80916             2.21128             0.69878             5.63702             1.0                 
195       0.83614             2.51915             60.52346            4.37297             1.0                 
196       0.81683             1.67990             1.98802             7.19480             1.0                 
197       0.92262             6.34543             188.73632           30.37552            1.0                 
198       0.53593             3.01803             1.79018             11.16777            1.0                 
199       0.90116             1.69910             3.85102             2.03308             1.0                 
200       0.79671             3.22846             74.21093            6.08267             1.0                 
201       0.98055             1.67753             50.78451            4.45211             1.0                 
202       0.71387             2.38022             0.96673             5.50963             1.0                 
203       0.76201             2.00577             14.52087            8.65096             1.0                 
204       0.86848             1.64187             5.20637             3.70662             1.0                 
205       0.86625             1.60172             10.09242            3.76890             1.0                 
206       0.92163             1.78230             5.44613             1.54701             1.0                 
207       0.79285             2.23631             0.84281             4.89447             1.0                 
208       0.94081             1.85618             37.24239            3.86087             1.0                 
209       0.74363             1.83562             2.30606             10.89698            1.0                 
210       0.78193             2.24840             0.68608             4.87301             1.0                 
211       0.89650             1.70214             0.44522             2.48545             1.0                 
212       0.85841             1.90649             0.50500             3.28683             1.0                 
213       0.86301             1.83196             37.34023            3.00887             1.0                 
214       0.90198             1.67537             0.28491             2.37825             1.0                 
215       0.87636             2.16579             0.36681             2.57219             1.0                 
216       0.81479             2.11402             0.69287             4.57118             1.0                 
217       0.87820             1.71985             0.44565             3.55112             1.0                 
218       0.91250             2.04938             49.13125            6.48059             1.0                 
219       0.91920             1.47695             0.46518             2.50333             1.0                 
220       0.81674             2.12764             0.65545             4.79131             1.0                 
221       0.93888             1.13384             0.69192             3.94155             1.0                 
222       0.95504             2.86885             95.73244            10.78071            1.0                 
223       0.49320             3.76098             5.40615             19.32057            1.0                 
224       0.92768             1.78661             0.29351             1.49001             1.0                 
225       0.92308             3.63495             150.75134           16.14947            1.0                 
226       0.91836             1.86266             24.54554            1.05369             1.0                 
227       0.92740             1.54700             15.04891            2.64964             1.0                 
228       0.85910             2.44153             0.23395             1.69102             1.0                 
229       0.76822             4.52623             138.78734           28.84837            1.0                 
230       0.88236             3.05064             91.16544            11.69756            1.0                 
231       0.93071             1.54402             0.28115             1.94742             1.0                 
232       0.40275             3.82872             2.16181             11.01457            1.0                 
233       0.97235             1.31190             14.03155            0.51024             1.0                 
234       0.90826             3.28864             136.74128           13.35265            1.0                 
235       0.89362             1.80447             0.22929             2.02000             1.0                 
236       0.90318             1.88473             0.33579             2.29164             1.0                 
237       0.94896             1.76710             57.18506            3.02564             1.0                 
238       0.79057             2.79407             0.71436             3.52864             1.0                 
239       0.83155             2.30537             58.53802            3.24506             1.0                 
240       0.88021             2.66529             70.16535            8.00174             1.0                 
241       0.92515             3.32708             135.25601           14.98271            1.0                 
242       0.87158             1.67922             0.73874             4.46550             1.0                 
243       0.93770             1.84095             69.16503            3.18727             1.0                 
244       0.77496             2.41560             36.02606            3.13268             1.0                 
245       0.92976             4.51327             208.76654           25.07010            1.0                 
246       0.81525             2.07533             66.62802            4.81507             1.0                 
247       0.95962             1.54194             21.97322            0.65051             1.0                 
248       0.85658             2.16044             0.38168             2.77804             1.0                 
249       0.60840             2.92726             1.62259             8.10595             1.0                 
250       0.85604             1.82327             12.55417            3.31629             1.0                 
251       0.69556             2.38474             1.93592             7.27160             0.999875            
252       0.57633             2.48207             2.14238             11.81037            1.0                 
253       0.95977             2.14919             106.34231           9.77870             1.0                 
254       0.89632             1.65106             14.66014            1.69296             1.0                 
255       0.88704             3.72745             193.72619           17.17670            1.0                 
256       0.92636             1.91940             61.95064            4.03110             1.0                 
257       0.72739             2.55324             0.85429             5.09129             1.0                 
258       0.75539             2.14006             1.03065             6.09780             0.99975             
259       0.89742             1.55224             10.51114            2.81252             1.0                 
260       0.16017             7.42794             6.90809             16.07572            0.999875            
261       0.85821             2.03199             0.27581             2.34415             1.0                 
262       0.96172             1.66743             53.99159            2.21900             1.0                 
263       0.87706             1.45710             0.71088             3.61937             1.0                 
264       0.69781             3.59860             1.50671             4.14142             1.0                 
265       0.96649             1.46618             42.47794            1.71591             1.0                 
266       0.92775             1.51190             0.24440             1.89399             1.0                 
267       0.80531             2.26574             38.85235            2.84482             1.0                 
268       0.85111             1.55672             13.18779            4.66512             1.0                 
269       0.93929             7.35709             522.25940           32.26851            1.0                 
270       0.92044             2.13979             49.09799            4.10123             1.0                 
271       0.91212             1.37931             0.52936             2.81624             1.0                 
272       0.92024             2.48923             82.10568            7.94495             0.999875            
273       0.84648             2.84319             109.49931           7.29354             1.0                 
274       0.81722             2.16653             0.23616             2.20392             1.0                 
275       0.91723             4.58429             314.40362           20.83771            1.0                 
276       0.69193             4.34851             188.96011           18.95703            1.0                 
277       0.58568             2.74720             1.76196             8.94004             1.0                 
278       0.68904             2.42392             1.83892             10.71480            1.0                 
279       0.49928             6.79580             181.20674           29.84179            1.0                 
280       0.49485             2.98200             2.43072             10.52699            1.0                 
281       0.77215             2.08773             8.42205             3.51343             1.0                 
282       0.89449             2.02878             0.21526             1.68450             1.0                 
283       0.94144             1.42824             40.50832            0.82736             1.0                 
284       0.80367             3.00314             1.96768             5.05969             1.0                 
285       0.83541             1.88663             0.68696             5.09141             1.0                 
286       0.93645             2.40700             132.60805           7.14573             1.0                 
287       0.83254             1.78828             1.59391             5.21184             1.0                 
288       0.69953             2.91554             1.14982             8.30262             1.0                 
289       0.85736             2.09949             0.30606             2.73336             1.0                 
290       0.91145             4.21812             293.62937           19.14805            1.0                 
291       0.79745             2.79972             128.35743           7.53301             1.0                 
292       0.64684             2.47722             4.41380             17.64480            1.0                 
293       0.91146             1.59451             71.30987            1.07562             1.0                 
294       0.81132             3.07055             194.14982           11.29830            1.0                 
295       0.83417             1.71474             0.56410             3.86283             1.0                 
296       0.78982             2.46280             0.60969             2.96551             1.0                 
297       0.90220             1.69633             27.84341            1.24395             1.0                 
298       0.80681             2.01855             113.11151           2.10680             1.0                 
299       0.86546             1.65196             0.71180             3.94778             1.0                 
300       0.67682             5.20455             323.99199           29.26428            1.0                 
301       0.93556             1.51576             0.45837             1.67950             1.0                 
302       0.72605             2.56500             0.83199             5.13219             1.0                 
303       0.92848             1.85138             0.11115             0.98753             1.0                 
304       0.86214             2.01241             0.24258             2.47412             1.0                 
305       0.76785             2.09251             1.72803             10.24671            1.0                 
306       0.90905             1.64081             0.29639             2.13673             1.0                 
307       0.73955             2.16451             2.16997             5.69752             1.0                 
308       0.36478             5.24249             120.42608           9.90962             1.0                 
309       0.88431             2.12544             0.22301             1.72999             1.0                 
310       0.71778             2.90359             95.65271            4.99913             1.0                 
311       0.73587             2.66606             87.65371            3.20746             1.0                 
312       0.87227             2.36153             0.29467             1.63814             1.0                 
313       0.88016             2.26261             154.51657           6.43145             1.0                 
314       0.35872             4.30959             1.80369             6.83799             1.0                 
315       0.77018             1.91852             11.17388            6.28192             1.0                 
316       0.80171             2.12983             0.60655             3.77405             1.0                 
317       0.84387             2.67745             0.59833             4.81366             1.0                 
318       0.88416             2.80526             181.60623           9.55611             1.0                 
319       0.96226             2.34908             234.55830           7.00195             1.0                 
320       0.89909             1.41610             0.50590             3.08269             1.0                 
321       0.97062             1.25862             26.98609            0.81117             1.0                 
322       0.70490             4.29061             232.52750           14.97405            1.0                 
323       0.83458             2.85827             0.52120             2.62886             1.0                 
324       0.76345             2.05632             1.56169             5.80811             1.0                 
325       0.90588             1.95687             0.16898             1.32389             1.0                 
326       0.91937             1.99330             99.37850            2.67041             1.0                 
327       0.76170             2.02190             19.63249            9.05631             1.0                 
328       0.88333             1.90814             0.19461             1.94094             1.0                 
329       0.92252             1.26611             0.52310             2.52824             0.999875            
330       0.93475             1.14185             0.88789             2.78891             1.0                 
331       0.91257             1.87535             0.25310             1.84313             1.0                 
332       0.91744             1.04041             7.78382             3.62245             1.0                 
333       0.74032             2.00928             1.51417             9.37201             1.0                 
334       0.21991             18.30034            175.70279           204.33497           1.0                 
335       0.67677             2.39827             0.94184             5.90672             1.0                 
336       0.81378             3.33365             0.41457             1.39674             1.0                 
