# cycles  fidelity            EL avg              EL var              ||EL gradient||     ratio accepted samples
1         0.66897             0.00000             0.00000             0.00000             1.0                 
2         0.67346             0.00000             0.00000             0.00000             1.0                 
3         0.70384             0.00000             0.00000             0.00000             1.0                 
4         0.68812             0.00000             0.00000             0.00000             1.0                 
5         0.72919             0.00000             0.00000             0.00000             1.0                 
6         0.86310             0.00000             0.00000             0.00000             0.999875            
7         0.69711             0.00000             0.00000             0.00000             1.0                 
8         0.63292             0.00000             0.00000             0.00000             1.0                 
9         0.67460             0.00000             0.00000             0.00000             1.0                 
10        0.92975             0.00000             0.00000             0.00000             1.0                 
11        0.71466             0.00000             0.00000             0.00000             0.999875            
12        0.66317             0.00000             0.00000             0.00000             1.0                 
13        0.80131             0.00000             0.00000             0.00000             1.0                 
14        0.61658             0.00000             0.00000             0.00000             1.0                 
15        0.72863             0.00000             0.00000             0.00000             1.0                 
16        0.67489             0.00000             0.00000             0.00000             1.0                 
17        0.61097             0.00000             0.00000             0.00000             1.0                 
18        0.68075             0.00000             0.00000             0.00000             1.0                 
19        0.63598             0.00000             0.00000             0.00000             1.0                 
20        0.68162             0.00000             0.00000             0.00000             1.0                 
21        0.65042             0.00000             0.00000             0.00000             1.0                 
22        0.65264             0.00000             0.00000             0.00000             1.0                 
23        0.80813             0.00000             0.00000             0.00000             1.0                 
24        0.64053             0.00000             0.00000             0.00000             1.0                 
25        0.77586             0.00000             0.00000             0.00000             1.0                 
26        0.79373             0.00000             0.00000             0.00000             1.0                 
27        0.69343             0.00000             0.00000             0.00000             1.0                 
28        0.58731             0.00000             0.00000             0.00000             1.0                 
29        0.78409             0.00000             0.00000             0.00000             1.0                 
30        0.75885             0.00000             0.00000             0.00000             1.0                 
31        0.64920             0.00000             0.00000             0.00000             1.0                 
32        0.66406             0.00000             0.00000             0.00000             1.0                 
33        0.78523             0.00000             0.00000             0.00000             1.0                 
34        0.68519             0.00000             0.00000             0.00000             1.0                 
35        0.72085             0.00000             0.00000             0.00000             1.0                 
36        0.69066             0.00000             0.00000             0.00000             1.0                 
37        0.75157             0.00000             0.00000             0.00000             1.0                 
38        0.72789             0.00000             0.00000             0.00000             0.999875            
39        0.61434             0.00000             0.00000             0.00000             1.0                 
40        0.76453             0.00000             0.00000             0.00000             1.0                 
41        0.70055             0.00000             0.00000             0.00000             1.0                 
42        0.71504             0.00000             0.00000             0.00000             1.0                 
43        0.71354             0.00000             0.00000             0.00000             1.0                 
44        0.73172             0.00000             0.00000             0.00000             1.0                 
45        0.62544             0.00000             0.00000             0.00000             1.0                 
46        0.73170             0.00000             0.00000             0.00000             1.0                 
47        0.65796             0.00000             0.00000             0.00000             1.0                 
48        0.74889             0.00000             0.00000             0.00000             1.0                 
49        0.68271             0.00000             0.00000             0.00000             0.999875            
50        0.62632             0.00000             0.00000             0.00000             1.0                 
51        0.67308             0.00000             0.00000             0.00000             1.0                 
52        0.61178             0.00000             0.00000             0.00000             1.0                 
53        0.74913             0.00000             0.00000             0.00000             1.0                 
54        0.68167             0.00000             0.00000             0.00000             1.0                 
55        0.68938             0.00000             0.00000             0.00000             1.0                 
56        0.74891             0.00000             0.00000             0.00000             1.0                 
57        0.66220             0.00000             0.00000             0.00000             1.0                 
58        0.73290             0.00000             0.00000             0.00000             1.0                 
59        0.65001             0.00000             0.00000             0.00000             1.0                 
60        0.73023             0.00000             0.00000             0.00000             1.0                 
61        0.62829             0.00000             0.00000             0.00000             1.0                 
62        0.51545             0.00000             0.00000             0.00000             1.0                 
63        0.67948             0.00000             0.00000             0.00000             1.0                 
64        0.60867             0.00000             0.00000             0.00000             1.0                 
65        0.53303             0.00000             0.00000             0.00000             1.0                 
66        0.58335             0.00000             0.00000             0.00000             1.0                 
67        0.84272             0.00000             0.00000             0.00000             1.0                 
68        0.78284             0.00000             0.00000             0.00000             1.0                 
69        0.58432             0.00000             0.00000             0.00000             1.0                 
70        0.61926             0.00000             0.00000             0.00000             1.0                 
71        0.71663             0.00000             0.00000             0.00000             1.0                 
72        0.81412             0.00000             0.00000             0.00000             1.0                 
73        0.55201             0.00000             0.00000             0.00000             1.0                 
74        0.69161             0.00000             0.00000             0.00000             1.0                 
75        0.63319             0.00000             0.00000             0.00000             1.0                 
76        0.63645             0.00000             0.00000             0.00000             1.0                 
77        0.63879             0.00000             0.00000             0.00000             1.0                 
78        0.75730             0.00000             0.00000             0.00000             1.0                 
79        0.92863             0.00000             0.00000             0.00000             1.0                 
80        0.62561             0.00000             0.00000             0.00000             1.0                 
81        0.78651             0.00000             0.00000             0.00000             1.0                 
82        0.61217             0.00000             0.00000             0.00000             0.999875            
83        0.65468             0.00000             0.00000             0.00000             1.0                 
84        0.63329             0.00000             0.00000             0.00000             1.0                 
85        0.68702             0.00000             0.00000             0.00000             1.0                 
86        0.67527             0.00000             0.00000             0.00000             1.0                 
87        0.66745             0.00000             0.00000             0.00000             1.0                 
88        0.71562             0.00000             0.00000             0.00000             1.0                 
89        0.65892             0.00000             0.00000             0.00000             1.0                 
90        0.64860             0.00000             0.00000             0.00000             1.0                 
91        0.58935             0.00000             0.00000             0.00000             1.0                 
92        0.79472             0.00000             0.00000             0.00000             1.0                 
93        0.64227             0.00000             0.00000             0.00000             1.0                 
94        0.72689             0.00000             0.00000             0.00000             1.0                 
95        0.62145             0.00000             0.00000             0.00000             1.0                 
96        0.66244             0.00000             0.00000             0.00000             1.0                 
97        0.82440             0.00000             0.00000             0.00000             0.999875            
98        0.82950             0.00000             0.00000             0.00000             1.0                 
99        0.65056             0.00000             0.00000             0.00000             1.0                 
100       0.66556             0.00000             0.00000             0.00000             1.0                 
101       0.67888             0.00000             0.00000             0.00000             1.0                 
102       0.66641             0.00000             0.00000             0.00000             1.0                 
103       0.72986             0.00000             0.00000             0.00000             1.0                 
104       0.62707             0.00000             0.00000             0.00000             1.0                 
105       0.74797             0.00000             0.00000             0.00000             1.0                 
106       0.76925             0.00000             0.00000             0.00000             1.0                 
107       0.75703             0.00000             0.00000             0.00000             1.0                 
108       0.66682             0.00000             0.00000             0.00000             1.0                 
109       0.67983             0.00000             0.00000             0.00000             0.999875            
110       0.62827             0.00000             0.00000             0.00000             1.0                 
111       0.56948             0.00000             0.00000             0.00000             1.0                 
112       0.70469             0.00000             0.00000             0.00000             1.0                 
113       0.65766             0.00000             0.00000             0.00000             1.0                 
114       0.55583             0.00000             0.00000             0.00000             1.0                 
115       0.68469             0.00000             0.00000             0.00000             1.0                 
116       0.69753             0.00000             0.00000             0.00000             1.0                 
117       0.75457             0.00000             0.00000             0.00000             1.0                 
118       0.70611             0.00000             0.00000             0.00000             1.0                 
119       0.72384             0.00000             0.00000             0.00000             1.0                 
120       0.62783             0.00000             0.00000             0.00000             1.0                 
121       0.69156             0.00000             0.00000             0.00000             1.0                 
122       0.77413             0.00000             0.00000             0.00000             1.0                 
123       0.94874             0.00000             0.00000             0.00000             1.0                 
124       0.70651             0.00000             0.00000             0.00000             1.0                 
125       0.61348             0.00000             0.00000             0.00000             1.0                 
126       0.61892             0.00000             0.00000             0.00000             1.0                 
127       0.56726             0.00000             0.00000             0.00000             1.0                 
128       0.66041             0.00000             0.00000             0.00000             1.0                 
129       0.67856             0.00000             0.00000             0.00000             1.0                 
