# cycles  fidelity      MSE           ||MSE gradient||    
1         0.50394656    0.58987775    1.29275455          
2         0.50523853    0.52371020    0.87071530          
3         0.50115267    0.52130403    0.85524186          
4         0.50508159    0.51712898    0.85185911          
5         0.50509800    0.51256265    0.84698350          
6         0.50502150    0.51001311    0.84033206          
7         0.50431020    0.50128046    0.81913964          
8         0.51040476    0.49461852    0.81435158          
9         0.50893429    0.49164372    0.80694798          
10        0.50496546    0.48858913    0.80189248          
11        0.50478619    0.48793287    0.80417581          
12        0.50542630    0.48035850    0.78873133          
13        0.50440399    0.47511915    0.78075623          
14        0.51049498    0.46906966    0.77444142          
15        0.50577886    0.46766037    0.77461532          
16        0.50551316    0.46415025    0.77109157          
17        0.50465697    0.45907634    0.76166694          
18        0.50028934    0.45963346    0.76454880          
19        0.50453507    0.45215639    0.75508160          
20        0.50612104    0.44601574    0.74860878          
21        0.50504494    0.44388141    0.74982513          
22        0.50328955    0.44181437    0.74653200          
23        0.50541643    0.43386030    0.73540450          
24        0.50469161    0.43162483    0.73538590          
25        0.50587544    0.42574241    0.72876824          
26        0.50655894    0.42307759    0.73249842          
27        0.50261117    0.42298922    0.73184317          
28        0.50540665    0.41625375    0.72299857          
29        0.50854807    0.41090012    0.71739829          
30        0.50741980    0.40745228    0.71555688          
31        0.50327929    0.40724033    0.71437066          
32        0.50859897    0.40039942    0.70756315          
33        0.50818663    0.39636993    0.70387282          
34        0.50778829    0.39456176    0.70353248          
35        0.50391145    0.39225801    0.70414151          
36        0.50669546    0.38731978    0.69729354          
37        0.50511914    0.38345970    0.69079763          
38        0.50527669    0.38040940    0.68890154          
39        0.50928519    0.37605479    0.68807461          
40        0.50506671    0.37358621    0.68155646          
41        0.50519611    0.36956797    0.67933190          
42        0.50784424    0.36539757    0.67583977          
43        0.50437003    0.36365186    0.67132690          
44        0.50450968    0.36102005    0.67094722          
45        0.50581135    0.35722205    0.66621556          
46        0.51038482    0.34959700    0.65735700          
47        0.50275551    0.35112696    0.65992845          
48        0.50411956    0.34673729    0.65428877          
49        0.50935737    0.34026126    0.64945887          
50        0.50533361    0.33944386    0.64711949          
51        0.50364185    0.33781008    0.64687526          
52        0.50212432    0.33399375    0.64146589          
53        0.50506817    0.32996837    0.64002136          
54        0.50458176    0.32745282    0.63557802          
55        0.50165819    0.32571978    0.63433017          
56        0.50752352    0.31973325    0.62661794          
57        0.50204884    0.31828394    0.62346711          
58        0.50483729    0.31374776    0.61813027          
59        0.50558278    0.31088143    0.61570055          
60        0.50831353    0.30649890    0.61274264          
61        0.50661685    0.30326021    0.60806850          
62        0.50400192    0.30196787    0.60741980          
63        0.50344206    0.29878999    0.60100555          
64        0.50361638    0.29527310    0.59844327          
65        0.50548047    0.29146050    0.59264929          
66        0.50238880    0.28938371    0.59111294          
67        0.50416310    0.28596368    0.58723104          
68        0.50582523    0.28248179    0.58151177          
69        0.51041889    0.27744162    0.57579647          
70        0.50731545    0.27653724    0.57466759          
71        0.50513573    0.27379787    0.57144972          
72        0.50308631    0.27241026    0.56931249          
73        0.50739226    0.26756270    0.56348703          
74        0.50564842    0.26570990    0.56284873          
75        0.50455923    0.26277900    0.55565157          
76        0.50707800    0.25907019    0.55028439          
77        0.50777807    0.25580917    0.54661814          
78        0.50312986    0.25470649    0.54239315          
79        0.50136303    0.25326911    0.54267711          
80        0.50595164    0.24800093    0.53329119          
81        0.50231816    0.24754818    0.53485159          
82        0.50466318    0.24402900    0.53003772          
83        0.50333051    0.24169626    0.52561620          
84        0.50558392    0.23798665    0.51911384          
85        0.50698764    0.23474324    0.51521332          
86        0.50745298    0.23176613    0.51050326          
87        0.50948789    0.22804979    0.50254102          
88        0.50264150    0.22923189    0.50819826          
89        0.50726950    0.22445976    0.49814378          
90        0.50448773    0.22266156    0.49458150          
91        0.50600164    0.22023998    0.49096375          
92        0.50411072    0.21814299    0.48396438          
93        0.50704770    0.21523216    0.48218259          
