# cycles  fidelity      MSE           ||MSE gradient||    
1         0.86737449    0.13741162    0.33670499          
2         0.86612198    0.14014901    0.32367942          
3         0.86617250    0.13145540    0.28407067          
4         0.86495692    0.12341326    0.25064186          
5         0.86447350    0.11543138    0.22148272          
6         0.86803575    0.10493037    0.19065389          
7         0.86699550    0.09935827    0.16760940          
8         0.86593081    0.09457801    0.14723127          
9         0.86535656    0.08968487    0.12152244          
10        0.86375410    0.08653636    0.10011253          
11        0.86614973    0.08188679    0.06982835          
12        0.86511334    0.07999186    0.04941118          
13        0.86546209    0.07878034    0.02463749          
14        0.86329984    0.07926248    0.01354616          
15        0.86663926    0.07832861    0.02778650          
16        0.86548352    0.07953162    0.03963706          
17        0.86465627    0.08012949    0.04945067          
18        0.86684559    0.08007686    0.06300801          
19        0.86320309    0.08220823    0.06648767          
20        0.86375478    0.08228259    0.07140689          
21        0.86497554    0.08147549    0.07308871          
22        0.86498542    0.08136914    0.07272689          
23        0.86621653    0.08147577    0.07443359          
24        0.86484572    0.08073812    0.06537909          
25        0.86772484    0.07987741    0.06453491          
26        0.86699033    0.07924250    0.05448565          
27        0.86473056    0.07983058    0.04462600          
28        0.86496762    0.07911202    0.03407436          
29        0.86586703    0.07796210    0.02496047          
30        0.86544516    0.07755764    0.01067480          
31        0.86401251    0.07893994    0.00783641          
32        0.86393411    0.07854689    0.00993861          
33        0.86763456    0.07676711    0.01455444          
34        0.86711775    0.07773204    0.01816879          
35        0.86805910    0.07685434    0.02430125          
36        0.86541423    0.07842626    0.02984263          
37        0.86729508    0.07759359    0.03008444          
38        0.86470599    0.07881324    0.03714698          
39        0.86705502    0.07761598    0.03244583          
40        0.86695542    0.07771589    0.03029597          
41        0.86668395    0.07750842    0.03026913          
42        0.86649720    0.07758185    0.02607091          
43        0.86518746    0.07805113    0.02425643          
44        0.86520089    0.07814450    0.01811586          
45        0.86593193    0.07740254    0.01488462          
46        0.86808922    0.07683046    0.00523202          
47        0.86614288    0.07719234    0.00667300          
48        0.86762561    0.07672458    0.00461273          
49        0.86650704    0.07716751    0.00602830          
50        0.86799835    0.07644599    0.01062087          
51        0.86817262    0.07652467    0.01369575          
52        0.86626483    0.07751503    0.01380386          
53        0.87003276    0.07598334    0.01996938          
54        0.86800750    0.07692750    0.01787450          
55        0.86477480    0.07803142    0.01182421          
56        0.86409261    0.07792105    0.00984192          
57        0.86620223    0.07701537    0.00923520          
