# cycles  fidelity      MSE           ||MSE gradient||    
1         0.67583295    0.44835220    0.85848381          
2         0.67770279    0.43199600    0.72879162          
3         0.67733304    0.40763586    0.64249756          
4         0.67820675    0.38370974    0.58171736          
5         0.67575993    0.36455609    0.54036371          
6         0.67739775    0.34339473    0.50957517          
7         0.67763777    0.32139273    0.47708189          
8         0.67795664    0.30299446    0.45603886          
9         0.67830680    0.28333633    0.43636361          
10        0.67733716    0.26591531    0.42065905          
11        0.67786030    0.24806621    0.40609344          
12        0.67907320    0.22959812    0.38732324          
13        0.68125558    0.21200518    0.36959106          
14        0.67591021    0.19915157    0.35513390          
15        0.67801898    0.18254232    0.32979745          
16        0.67577931    0.16933120    0.30642282          
17        0.67782984    0.15507910    0.27709250          
18        0.68028066    0.14230368    0.24440910          
19        0.67731407    0.13313666    0.22084132          
20        0.67779383    0.12420767    0.19361946          
21        0.67760270    0.11662248    0.16403823          
22        0.67859133    0.11034708    0.13115855          
23        0.67908861    0.10555801    0.10382381          
24        0.67864037    0.10289958    0.07555981          
25        0.67728421    0.10082712    0.05765230          
26        0.67821471    0.09916355    0.03701287          
27        0.67742770    0.09780320    0.02968979          
28        0.67852745    0.09756279    0.01927435          
29        0.67867186    0.09814623    0.02637375          
30        0.67857981    0.09895143    0.03865274          
31        0.67536444    0.09909587    0.04434620          
32        0.67575053    0.10021031    0.05385412          
33        0.67630865    0.10145827    0.06331559          
34        0.67892482    0.10165881    0.06877890          
35        0.67672954    0.10227499    0.07151148          
36        0.67951620    0.10329095    0.07742176          
37        0.68125685    0.10409689    0.08205165          
38        0.67797220    0.10332692    0.07968314          
39        0.67847797    0.10408543    0.08158194          
40        0.67701869    0.10345359    0.07885204          
41        0.67882579    0.10274390    0.07884315          
42        0.67535418    0.10375605    0.07622389          
43        0.67809228    0.10203303    0.07349358          
44        0.67607723    0.10174442    0.06934409          
45        0.67867880    0.10171563    0.06942027          
46        0.67971296    0.10077272    0.06507953          
47        0.67728582    0.10076563    0.06034749          
48        0.67781115    0.09954499    0.05633246          
49        0.67776901    0.09987002    0.05123988          
50        0.68140599    0.09858184    0.04793719          
51        0.67811641    0.09847374    0.03998614          
52        0.67868424    0.09818419    0.03455378          
53        0.67959337    0.09760867    0.02955130          
54        0.67826168    0.09754573    0.02301336          
55        0.67544579    0.09704699    0.01944420          
56        0.67455292    0.09730763    0.01597426          
57        0.67698633    0.09676014    0.01487419          
58        0.67898208    0.09645234    0.01358454          
59        0.67752255    0.09713592    0.02032242          
60        0.67772266    0.09691614    0.01514945          
61        0.67746868    0.09702530    0.01951498          
62        0.67916521    0.09660772    0.02800554          
63        0.68032238    0.09714483    0.01906560          
64        0.67734353    0.09678244    0.02412958          
65        0.67842901    0.09703807    0.02909921          
66        0.67757407    0.09717079    0.02460976          
67        0.67784108    0.09751409    0.02462957          
68        0.67891641    0.09668801    0.02842445          
69        0.67822429    0.09739203    0.02972483          
70        0.67811766    0.09728448    0.02563113          
71        0.67778550    0.09697574    0.02668573          
72        0.67680383    0.09736699    0.02855794          
73        0.67747382    0.09721480    0.02154800          
74        0.67771776    0.09757905    0.01589071          
75        0.67672639    0.09644754    0.02554764          
76        0.67647591    0.09679165    0.01867369          
77        0.67815848    0.09581711    0.01937283          
78        0.67860026    0.09622395    0.01654269          
79        0.67814587    0.09599739    0.01796899          
80        0.67930507    0.09685993    0.01401330          
81        0.67969721    0.09551645    0.01071867          
82        0.67996452    0.09574190    0.01676649          
83        0.67884762    0.09640023    0.01652427          
84        0.67829228    0.09658923    0.01138618          
85        0.67937672    0.09583523    0.01160389          
86        0.67796705    0.09590523    0.01253738          
87        0.67882543    0.09650159    0.01699263          
88        0.67979996    0.09588929    0.01056928          
89        0.67918237    0.09577845    0.01680981          
90        0.67862937    0.09595550    0.01782264          
91        0.67939103    0.09634505    0.01221684          
92        0.67963006    0.09618452    0.01325050          
93        0.67970507    0.09559550    0.01712704          
94        0.67839685    0.09552559    0.01844732          
95        0.68021201    0.09604993    0.01418639          
96        0.68159124    0.09536037    0.01634963          
97        0.67908208    0.09553976    0.01796906          
98        0.67773453    0.09503979    0.01243480          
99        0.67918114    0.09481739    0.01297108          
100       0.68077875    0.09510329    0.01416307          
101       0.67971899    0.09500349    0.01378733          
102       0.68087128    0.09471256    0.01572454          
103       0.67886777    0.09421267    0.01631792          
104       0.68019360    0.09476989    0.01931307          
105       0.67935221    0.09569381    0.01913443          
106       0.67817140    0.09408974    0.01867954          
107       0.68071177    0.09401455    0.01703792          
108       0.67969307    0.09368978    0.02309056          
109       0.68122375    0.09409028    0.01644834          
110       0.68104511    0.09325536    0.02004338          
111       0.68081440    0.09346847    0.02272287          
112       0.68251159    0.09294740    0.01840569          
113       0.68214796    0.09341994    0.02036193          
114       0.68081243    0.09371761    0.02574507          
115       0.68209205    0.09362614    0.02322356          
116       0.68156222    0.09351371    0.02179460          
117       0.68208101    0.09232350    0.02241912          
118       0.68274260    0.09214830    0.02407419          
119       0.68093968    0.09203904    0.02262318          
120       0.68300040    0.09166477    0.02550778          
121       0.68693722    0.09099098    0.02351501          
122       0.68339403    0.09178614    0.02346454          
123       0.68496822    0.09057348    0.02608814          
124       0.68282442    0.09057752    0.02522779          
125       0.68664133    0.09068490    0.02875542          
126       0.68713993    0.08902721    0.02527110          
127       0.68613349    0.08935083    0.02822297          
128       0.68638752    0.08942276    0.03084552          
129       0.68578569    0.08911787    0.02873723          
130       0.68684758    0.08867649    0.02949442          
131       0.69053734    0.08744336    0.02992913          
132       0.68756606    0.08737988    0.02941737          
133       0.68962586    0.08642264    0.03012416          
134       0.68860346    0.08586723    0.03642401          
135       0.68992251    0.08572999    0.03118497          
136       0.69126526    0.08531163    0.03150433          
137       0.69146634    0.08418483    0.03380628          
138       0.69424448    0.08397803    0.03385010          
139       0.69406489    0.08366745    0.03479963          
140       0.69450015    0.08263433    0.03447832          
141       0.69461974    0.08226445    0.03441102          
