=========================================================================
Supervised learning of the non-interacting case...
=========================================================================
cycles    fidelity      MSE           ||MSE gradient||    
1         0.86832       0.14718       0.33006             
2         0.86291       0.16002       0.34161             
3         0.86680       0.14570       0.28866             
4         0.86819       0.13483       0.25280             
5         0.86556       0.12820       0.22760             
6         0.86796       0.11771       0.20124             
7         0.86361       0.11437       0.18866             
8         0.86634       0.10572       0.16944             
9         0.86634       0.09992       0.15562             
10        0.86530       0.09530       0.13877             
11        0.86545       0.09039       0.11859             
12        0.86417       0.08664       0.09898             
13        0.86383       0.08370       0.07356             
14        0.86610       0.07996       0.04989             
15        0.86620       0.07874       0.02411             
16        0.86549       0.07792       0.01057             
17        0.86645       0.07814       0.02513             
18        0.86338       0.08011       0.04148             
19        0.86312       0.08133       0.05406             
20        0.86545       0.08112       0.06640             
21        0.86593       0.08218       0.07651             
22        0.86581       0.08261       0.08108             
23        0.86984       0.08151       0.08758             
24        0.86859       0.08189       0.08571             
25        0.86420       0.08341       0.07882             
26        0.86496       0.08156       0.07081             
27        0.86858       0.08004       0.06953             
28        0.86325       0.08093       0.05279             
29        0.86302       0.08027       0.04300             
30        0.86316       0.07903       0.02834             
31        0.86470       0.07854       0.02334             
32        0.86371       0.07891       0.01085             
33        0.86339       0.07877       0.00842             
34        0.86517       0.07814       0.01059             
35        0.86601       0.07798       0.01938             
36        0.86674       0.07772       0.02780             
37        0.86438       0.07873       0.03500             
38        0.86664       0.07828       0.03362             
39        0.86863       0.07708       0.03027             
40        0.86538       0.07854       0.03743             
41        0.86623       0.07831       0.03423             
42        0.86367       0.07945       0.03334             
43        0.86593       0.07846       0.02529             
44        0.86618       0.07778       0.02365             
45        0.86827       0.07676       0.01708             
46        0.86422       0.07823       0.01784             
47        0.86590       0.07756       0.01203             
48        0.86614       0.07726       0.00872             
49        0.86785       0.07661       0.00455             
50        0.86456       0.07790       0.00755             
51        0.86704       0.07680       0.00967             
52        0.86698       0.07698       0.01285             
53        0.86812       0.07647       0.01582             
54        0.86572       0.07773       0.01583             
55        0.86351       0.07900       0.01482             
56        0.86693       0.07701       0.01582             
57        0.86617       0.07748       0.01508             
58        0.86539       0.07785       0.01324             
59        0.86525       0.07755       0.01080             
60        0.86500       0.07761       0.00753             
61        0.86491       0.07756       0.00568             
62        0.86533       0.07795       0.00586             
63        0.86506       0.07728       0.00419             
64        0.86535       0.07717       0.00516             
65        0.86671       0.07684       0.00547             
66        0.86663       0.07702       0.00457             
67        0.86626       0.07700       0.00742             
68        0.86461       0.07809       0.01285             
69        0.86746       0.07652       0.00650             
70        0.86471       0.07781       0.00872             
71        0.86474       0.07817       0.01025             
72        0.86486       0.07787       0.00886             
73        0.86487       0.07768       0.00851             
74        0.86668       0.07697       0.00957             
75        0.86552       0.07754       0.00446             
76        0.86788       0.07632       0.00476             
77        0.86521       0.07773       0.00329             
78        0.86697       0.07698       0.00633             
79        0.87045       0.07516       0.00933             
80        0.86802       0.07652       0.01114             
81        0.86442       0.07815       0.00843             
82        0.86694       0.07698       0.00842             
83        0.86650       0.07622       0.00559             
84        0.86590       0.07723       0.00952             
85        0.86709       0.07648       0.00648             
86        0.86512       0.07747       0.00609             
87        0.86636       0.07687       0.00951             
88        0.86780       0.07647       0.00591             
89        0.86666       0.07658       0.00755             
90        0.86820       0.07651       0.00798             
91        0.86414       0.07754       0.00877             
92        0.86482       0.07768       0.00888             
93        0.86690       0.07665       0.00638             
94        0.86609       0.07697       0.00707             
95        0.86537       0.07704       0.00825             
96        0.86631       0.07671       0.00784             
97        0.86643       0.07638       0.00934             
98        0.86987       0.07527       0.00988             
99        0.86896       0.07546       0.00926             
100       0.86520       0.07724       0.00988             
101       0.86589       0.07666       0.01065             
102       0.86606       0.07665       0.01097             
103       0.86613       0.07613       0.01186             
104       0.86706       0.07592       0.01194             
105       0.86764       0.07599       0.01337             
106       0.86703       0.07540       0.01382             
107       0.86647       0.07580       0.01461             
108       0.86634       0.07548       0.01577             
109       0.86689       0.07509       0.01664             
110       0.86811       0.07445       0.01694             
111       0.86802       0.07472       0.01921             
112       0.86800       0.07427       0.01973             
113       0.86687       0.07444       0.02298             
114       0.87039       0.07293       0.02218             
115       0.86938       0.07317       0.02435             
116       0.86911       0.07284       0.02474             
117       0.87372       0.07050       0.02571             
118       0.87046       0.07114       0.02682             
119       0.87041       0.07095       0.02874             
120       0.87129       0.07004       0.02995             
121       0.87241       0.06940       0.03147             
122       0.87383       0.06829       0.03293             
123       0.87439       0.06733       0.03413             
124       0.87573       0.06631       0.03534             
125       0.87305       0.06690       0.04114             
126       0.87589       0.06489       0.03961             
127       0.87684       0.06396       0.03940             
128       0.87926       0.06241       0.04001             
129       0.87999       0.06131       0.04162             
130       0.88162       0.05963       0.04234             
131       0.88029       0.05965       0.04449             
132       0.88297       0.05763       0.04476             
133       0.88560       0.05541       0.04471             
134       0.88738       0.05398       0.04775             
135       0.88774       0.05312       0.04934             
136       0.88808       0.05196       0.05095             
137       0.89363       0.04854       0.04824             
138       0.89520       0.04771       0.04966             
139       0.89561       0.04662       0.04932             
140       0.89615       0.04526       0.04946             
141       0.89960       0.04247       0.04847             
142       0.89990       0.04185       0.04907             
143       0.90258       0.04011       0.04880             
144       0.90586       0.03792       0.04964             
145       0.90652       0.03670       0.04897             
146       0.90901       0.03467       0.04722             
147       0.91211       0.03293       0.04730             
148       0.91373       0.03162       0.04665             
149       0.91539       0.02998       0.04587             
150       0.91779       0.02834       0.04482             
151       0.91895       0.02708       0.04300             
152       0.92343       0.02512       0.04131             
153       0.92274       0.02418       0.04073             
154       0.92666       0.02267       0.04033             
155       0.92793       0.02112       0.03779             
156       0.92734       0.02081       0.03746             
157       0.92944       0.01946       0.03572             
158       0.93083       0.01820       0.03416             
159       0.93293       0.01731       0.03484             
160       0.93586       0.01592       0.03174             
161       0.93600       0.01541       0.03076             
162       0.93849       0.01429       0.02853             
163       0.93854       0.01356       0.02705             
164       0.94121       0.01263       0.02497             
165       0.94115       0.01212       0.02377             
166       0.94369       0.01128       0.02118             
167       0.94563       0.01076       0.02074             
168       0.94478       0.01049       0.01899             
169       0.94687       0.00984       0.01756             
170       0.94754       0.00959       0.01730             
171       0.94772       0.00930       0.01500             
172       0.94898       0.00884       0.01425             
173       0.94877       0.00880       0.01417             
174       0.94986       0.00840       0.01318             
175       0.95089       0.00819       0.01187             
176       0.95002       0.00811       0.01124             
177       0.95270       0.00774       0.01031             
178       0.95208       0.00769       0.00993             
179       0.95164       0.00769       0.01114             
180       0.95226       0.00745       0.00983             
181       0.95280       0.00734       0.00968             
182       0.95629       0.00679       0.00878             
183       0.95296       0.00715       0.00978             
184       0.95425       0.00687       0.00897             
185       0.95439       0.00676       0.00896             
186       0.95586       0.00647       0.00903             
187       0.95569       0.00642       0.00848             
188       0.95571       0.00629       0.00849             
189       0.95634       0.00613       0.00832             
190       0.95741       0.00599       0.00898             
191       0.95543       0.00605       0.00846             
192       0.95786       0.00571       0.00756             
193       0.95609       0.00584       0.00783             
194       0.95703       0.00565       0.00852             
195       0.95690       0.00556       0.00800             
196       0.95837       0.00541       0.00748             
197       0.95854       0.00531       0.00748             
198       0.95826       0.00526       0.00731             
199       0.95852       0.00518       0.00740             
200       0.96021       0.00498       0.00738             
201       0.95964       0.00498       0.00730             
202       0.95829       0.00500       0.00736             
203       0.96057       0.00479       0.00770             
204       0.95847       0.00491       0.00754             
205       0.95984       0.00475       0.00788             
206       0.95967       0.00475       0.00725             
207       0.96051       0.00458       0.00716             
208       0.96035       0.00455       0.00709             
209       0.96302       0.00428       0.00738             
210       0.96099       0.00447       0.00701             
211       0.96029       0.00440       0.00695             
212       0.96059       0.00437       0.00685             
213       0.96156       0.00427       0.00682             
214       0.96222       0.00414       0.00659             
215       0.96264       0.00410       0.00652             
216       0.96204       0.00411       0.00632             
217       0.96324       0.00399       0.00609             
218       0.96413       0.00383       0.00596             
219       0.96280       0.00391       0.00573             
220       0.96232       0.00393       0.00588             
221       0.96369       0.00382       0.00626             
222       0.96273       0.00384       0.00590             
223       0.96383       0.00373       0.00555             
224       0.96416       0.00367       0.00561             
225       0.96536       0.00354       0.00849             
226       0.96424       0.00360       0.00543             
227       0.96436       0.00354       0.00596             
228       0.96399       0.00356       0.00676             
229       0.96414       0.00351       0.00565             
230       0.96571       0.00336       0.00544             
231       0.96571       0.00333       0.00661             
232       0.96562       0.00330       0.00605             
233       0.96613       0.00325       0.00496             
234       0.96534       0.00324       0.00589             
235       0.96712       0.00316       0.00552             
236       0.96619       0.00315       0.00488             
237       0.96541       0.00317       0.00528             
238       0.96720       0.00306       0.00546             
239       0.96602       0.00309       0.00515             
240       0.96544       0.00309       0.00506             
241       0.96717       0.00294       0.00482             
242       0.96823       0.00287       0.00516             
243       0.96732       0.00288       0.00503             
244       0.96792       0.00281       0.00465             
245       0.96804       0.00278       0.00474             
246       0.96803       0.00276       0.00508             
247       0.96930       0.00267       0.00521             
248       0.96823       0.00269       0.00465             
249       0.96749       0.00271       0.00492             
250       0.96830       0.00266       0.00513             
251       0.96713       0.00269       0.00493             
252       0.96858       0.00256       0.00475             
253       0.96932       0.00254       0.00524             
254       0.96798       0.00255       0.00495             
255       0.96907       0.00246       0.00434             
256       0.96881       0.00249       0.00488             
257       0.97050       0.00238       0.00441             
258       0.96816       0.00247       0.00455             
259       0.97077       0.00230       0.00459             
260       0.96877       0.00236       0.00457             
261       0.97031       0.00229       0.00458             
262       0.96972       0.00226       0.00419             
263       0.96954       0.00227       0.00475             
264       0.96935       0.00223       0.00457             
265       0.97126       0.00214       0.00404             
266       0.97048       0.00214       0.00448             
267       0.96990       0.00215       0.00409             
268       0.97195       0.00204       0.00390             
269       0.97253       0.00200       0.00398             
270       0.97191       0.00199       0.00412             
271       0.97045       0.00203       0.00401             
272       0.97270       0.00193       0.00538             
273       0.97019       0.00200       0.00393             
274       0.97254       0.00191       0.00404             
275       0.97260       0.00186       0.00395             
276       0.97039       0.00193       0.00473             
277       0.97119       0.00190       0.00389             
278       0.97168       0.00186       0.00434             
279       0.97157       0.00183       0.00477             
280       0.97224       0.00180       0.00417             
281       0.97402       0.00168       0.00344             
282       0.97219       0.00174       0.00454             
283       0.97356       0.00168       0.00368             
284       0.97182       0.00173       0.00361             
285       0.97363       0.00162       0.00455             
286       0.97381       0.00160       0.00464             
287       0.97222       0.00165       0.00359             
288       0.97292       0.00161       0.00455             
289       0.97381       0.00156       0.00370             
290       0.97364       0.00155       0.00327             
291       0.97371       0.00154       0.00355             
292       0.97398       0.00152       0.00450             
293       0.97384       0.00149       0.00347             
294       0.97442       0.00146       0.00353             
295       0.97410       0.00147       0.00370             
296       0.97412       0.00144       0.00323             
297       0.97381       0.00143       0.00328             
298       0.97411       0.00141       0.00400             
299       0.97372       0.00141       0.00349             
300       0.97337       0.00142       0.00387             
301       0.97525       0.00133       0.00394             
302       0.97494       0.00134       0.00319             
303       0.97460       0.00133       0.00370             
304       0.97574       0.00128       0.00353             
305       0.97506       0.00129       0.00328             
306       0.97419       0.00131       0.00315             
307       0.97337       0.00131       0.00387             
308       0.97446       0.00126       0.00291             
309       0.97577       0.00121       0.00312             
310       0.97557       0.00119       0.00315             
311       0.97640       0.00118       0.00290             
312       0.97545       0.00119       0.00289             
313       0.97621       0.00117       0.00325             
314       0.97591       0.00114       0.00299             
315       0.97673       0.00111       0.00294             
316       0.97557       0.00115       0.00294             
317       0.97677       0.00108       0.00287             
318       0.97584       0.00111       0.00273             
319       0.97669       0.00108       0.00267             
320       0.97586       0.00108       0.00301             
321       0.97597       0.00107       0.00269             
322       0.97540       0.00108       0.00262             
323       0.97611       0.00105       0.00255             
324       0.97600       0.00104       0.00270             
325       0.97508       0.00106       0.00274             
326       0.97692       0.00099       0.00294             
327       0.97771       0.00097       0.00238             
328       0.97790       0.00096       0.00240             
329       0.97687       0.00098       0.00263             
330       0.97720       0.00095       0.00240             
331       0.97689       0.00097       0.00267             
332       0.97821       0.00092       0.00299             
333       0.97745       0.00093       0.00252             
334       0.97779       0.00091       0.00234             
335       0.97782       0.00090       0.00245             
336       0.97829       0.00088       0.00223             
337       0.97820       0.00089       0.00242             
338       0.97623       0.00092       0.00289             
339       0.97766       0.00088       0.00267             
340       0.97786       0.00086       0.00226             
341       0.97737       0.00087       0.00242             
342       0.97638       0.00089       0.00239             
343       0.97888       0.00080       0.00345             
344       0.97762       0.00083       0.00269             
345       0.97928       0.00079       0.00218             
346       0.97919       0.00079       0.00258             
347       0.97929       0.00078       0.00210             
348       0.97778       0.00082       0.00234             
349       0.97969       0.00076       0.00285             
350       0.97813       0.00080       0.00204             
351       0.98004       0.00074       0.00191             
352       0.97939       0.00075       0.00208             
353       0.97849       0.00076       0.00195             
354       0.97947       0.00073       0.00208             
355       0.97924       0.00075       0.00220             
356       0.97909       0.00073       0.00193             
357       0.97914       0.00072       0.00197             
358       0.97848       0.00075       0.00229             
359       0.97986       0.00070       0.00204             
360       0.98041       0.00069       0.00258             
361       0.97950       0.00070       0.00225             
362       0.97895       0.00071       0.00216             
363       0.97945       0.00070       0.00245             
364       0.98014       0.00067       0.00187             
365       0.97930       0.00068       0.00267             
366       0.98064       0.00066       0.00219             
367       0.97897       0.00069       0.00181             
368       0.97958       0.00067       0.00197             
369       0.97924       0.00067       0.00179             
370       0.97918       0.00066       0.00194             
371       0.97905       0.00067       0.00213             
372       0.97989       0.00065       0.00217             
373       0.97933       0.00065       0.00203             
374       0.97984       0.00063       0.00174             
375       0.98045       0.00062       0.00171             
376       0.98132       0.00060       0.00232             
377       0.98147       0.00058       0.00187             
378       0.97897       0.00064       0.00232             
379       0.98040       0.00061       0.00197             
380       0.98017       0.00061       0.00220             
381       0.98114       0.00059       0.00217             
382       0.98019       0.00060       0.00188             
383       0.98074       0.00059       0.00187             
384       0.98120       0.00057       0.00157             
385       0.98024       0.00059       0.00175             
386       0.98044       0.00058       0.00204             
387       0.98091       0.00057       0.00187             
388       0.98064       0.00057       0.00162             
389       0.98204       0.00054       0.00150             
390       0.98023       0.00057       0.00165             
391       0.98021       0.00057       0.00160             
392       0.98116       0.00054       0.00178             
393       0.98129       0.00054       0.00150             
394       0.98115       0.00055       0.00156             
395       0.98115       0.00055       0.00152             
396       0.98131       0.00053       0.00184             
397       0.98045       0.00055       0.00165             
398       0.98077       0.00054       0.00156             
399       0.98152       0.00052       0.00145             
400       0.98140       0.00053       0.00154             
401       0.98030       0.00053       0.00197             
402       0.98139       0.00052       0.00160             
403       0.98054       0.00053       0.00148             
404       0.98292       0.00049       0.00153             
405       0.98117       0.00051       0.00149             
406       0.98182       0.00049       0.00135             
407       0.98192       0.00050       0.00175             
408       0.98240       0.00048       0.00191             
409       0.98054       0.00051       0.00145             
410       0.98093       0.00051       0.00170             
411       0.98202       0.00048       0.00205             
412       0.98060       0.00051       0.00142             
413       0.98197       0.00047       0.00156             
414       0.98207       0.00048       0.00215             
415       0.98172       0.00048       0.00167             
416       0.98088       0.00049       0.00153             
417       0.98162       0.00048       0.00160             
418       0.98238       0.00046       0.00160             
419       0.98343       0.00044       0.00127             
420       0.98206       0.00046       0.00186             
421       0.98277       0.00045       0.00153             
422       0.98221       0.00045       0.00191             
423       0.98137       0.00047       0.00141             
424       0.98268       0.00044       0.00159             
425       0.98273       0.00044       0.00135             
426       0.98289       0.00044       0.00132             
427       0.98130       0.00046       0.00143             
428       0.98328       0.00042       0.00186             
429       0.98192       0.00044       0.00133             
430       0.98220       0.00044       0.00128             
431       0.98271       0.00043       0.00127             
432       0.98246       0.00043       0.00156             
433       0.98171       0.00044       0.00126             
434       0.98334       0.00041       0.00118             
435       0.98217       0.00043       0.00137             
436       0.98286       0.00041       0.00133             
437       0.98310       0.00041       0.00154             
438       0.98275       0.00041       0.00140             
439       0.98243       0.00042       0.00129             
440       0.98189       0.00043       0.00126             
441       0.98236       0.00042       0.00131             
